"Engineer","Protip","CaseNumber","Escl","CSM","P","Age","Entitlement","F/R","Language","Timezone","Product","Category","Subject","Account","link"
,,"07514059","False","VIP","P3","18","Premium","False","English","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Server","Visualizations","Tableau Server 2021.1 Display color issue","Commonwealth Bank of Australia","https://tableau.my.salesforce.com/5006Q00001hs1IUQAY"
,,"07514453","False","VIP","P3","15","Premium","False","English","India Time (Asia/Kolkata)","Tableau Server","Connect and work with data","Unable to connect to the data source, getting attached error while creating ODBC DSN","Cardinal Health, Inc.","https://tableau.my.salesforce.com/5006Q00001hs1uFQAQ"
,,"07515348","False","VIP","P3","10","Premium","True","English","Singapore Time (Asia/Singapore)","Tableau Server","Publish","Error page displayed after publishing a dashbaord","DBS Group Holdings Ltd","https://tableau.my.salesforce.com/5006Q00001hs3IZQAY"
,,"07510342","False","VIP","P4","43","Premium","True","English","India Time (Asia/Colombo)","Tableau Server","Print and export","Format of dimensions when downloading crosstab as excel","JPMorgan Chase & Co. - New York","https://tableau.my.salesforce.com/5006Q00001hrvK5QAI"
,,"07511114","False","VIP","P4","38","Premium","True","English","India Time (Asia/Colombo)","Tableau Server","Performance","Performance issue with a report","Citigroup Inc. (MAIN)","https://tableau.my.salesforce.com/5006Q00001hrwQiQAI"
,,"07511661","False","VIP","P4","35","Premium","True","English","India Time (Asia/Colombo)","Tableau Server","Connect and work with data","Flow getting failed after running for longer duration.","Cotiviti, Inc.","https://tableau.my.salesforce.com/5006Q00001hrxF7QAI"
,,"07509715","False",,"P4","52","Premium","True","English","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Server","Install and upgrade","Not able to create collection","Vanguard - SELA","https://tableau.my.salesforce.com/5006Q00001hruKOQAY"
,,"07514734","False",,"P4","12","Premium","False","English","India Time (Asia/Kolkata)","Tableau Desktop","Connect and work with data","When User connects to Databricks via Tableau Desktop he receives an error message.","MARS WRIGLEY CONFECTIONARY UK LTD","https://tableau.my.salesforce.com/5006Q00001hs2KlQAI"
,,"07516607","False",,"P4","1","Premium","False","English","India Time (Asia/Colombo)","Tableau Server","Licensing","unable to activate the key via offline mode","Reliance Industries Limited","https://tableau.my.salesforce.com/5006Q00001hs5ZqQAI"
,,"07514472","False","VIP","P1","15","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Install and upgrade","While upgrading 2019 to 2020.4.7 ,The TSM services are Degraded due to this upgrade failed","PricewaterhouseCoopers LLP - New York","https://tableau.my.salesforce.com/5006Q00001hs1ypQAA"
,,"07514371","False",,"P1","16","Standard","False","English (UK)","India Time (Asia/Kolkata)","Tableau Server","Connect and work with data","We are getting ""dry run query timed out"" while refresh extract over the self hosted server.","DUNZO DIGITAL PRIVATE LIMITED","https://tableau.my.salesforce.com/5006Q00001hs1rtQAA"
,,"07515642","False",,"P1","8","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","System management","TSM","Birla Management Centre Services Ltd","https://tableau.my.salesforce.com/5006Q00001hs3sRQAQ"
,,"07514057","False","VIP","P2","18","Standard","True","Chinese Simplified","China Time (Asia/Shanghai)","Tableau Server","Stability","集群中vizql server 经常处于错误状态","SHENZHEN PING AN COMMUNICATION TECHNOLOGY CO., LTD.","https://tableau.my.salesforce.com/5006Q00001hs1IKQAY"
,,"07514235","False","VIP","P2","16","Standard","False","English (UK)","Singapore Time (Asia/Singapore)","Tableau Server","Performance","Dashboards load very long on Server","Singapore Police Force","https://tableau.my.salesforce.com/5006Q00001hs1icQAA"
,,"07515529","False","VIP","P2","9","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Content Management","How to automate the backup script","EDF Energy Ltd.","https://tableau.my.salesforce.com/5006Q00001hs3eyQAA"
,,"07499542","False",,"P2","115","Standard","False","English","Indochina Time (Asia/Ho_Chi_Minh)","Tableau Desktop","Licensing","Error ""Maximum Activations reached""  when Activiating Tableau Desktop","CAU DAT - DALAT TEA JOINT STOCK COMPANY","https://tableau.my.salesforce.com/5006Q00001hre8TQAQ"
,,"07507003","False",,"P2","66","Standard","True","English","Australian Central Time (Northern Territory) (Australia/Darwin)","Tableau Server","Authentication","Tableau server degraded","PSMA Australia Limited","https://tableau.my.salesforce.com/5006Q00001hrq2AQAQ"
,,"07513456","False",,"P2","25","Standard","True","English","Singapore Time (Asia/Singapore)","Tableau Prep Builder","Connect and work with data","Tableau prep execution with error message","City Developments Limited","https://tableau.my.salesforce.com/5006Q00001hs0UKQAY"
,,"07513633","False",,"P2","23","Standard","True","Mandarin","China Time (Asia/Shanghai)","Tableau Server","Install and upgrade","部署Tableau Server第三步：配置身份存储报错。","BMW Brilliance Automotive Ltd.","https://tableau.my.salesforce.com/5006Q00001hs0luQAA"
,,"07513638","False",,"P2","23","Standard","True","Chinese Traditional","China Time (Asia/Shanghai)","Tableau Server","User management","账户无法登录TableauServer，显示“This user account is not active.”","Chint Group","https://tableau.my.salesforce.com/5006Q00001hs0mEQAQ"
,,"07513755","False",,"P2","21","Standard","False","English","Greenwich Mean Time (GMT)","Tableau Server","Exports","When subscribed for a report. The subscriptions are failing for several users.","Zenoti","https://tableau.my.salesforce.com/5006Q00001hs0wJQAQ"
,,"07513718","False",,"P2","21","Standard","False","English",,"Tableau Online","Publish","Tableau online site is not working","TDCX (SG) PTE. LTD.","https://tableau.my.salesforce.com/5006Q00001hs0qHQAQ"
,,"07513921","False",,"P2","19","Standard","False","English (UK)","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Server","Visualizations","http 500 - error with the data source for all dashboards","MIP (Aust) Pty Ltd","https://tableau.my.salesforce.com/5006Q00001hs18jQAA"
,,"07513925","False",,"P2","19","Standard","True","Chinese Simplified","China Time (Asia/Shanghai)","Tableau Server","Connect and work with data","代码在其他代码工具可以跑通，在tableau出现多个数据提取错误，详见说明","Shanghai ALO7 Technology Co., Ltd","https://tableau.my.salesforce.com/5006Q00001hs193QAA"
,,"07514051","False",,"P2","18","Standard","True","English","Malaysia Time (Asia/Kuala_Lumpur)","Tableau Server","System management","CPU Spikes and Stays at 100%","COCHLEAR MALAYSIA SDN. BHD.","https://tableau.my.salesforce.com/5006Q00001hs1HvQAI"
,,"07514318","False",,"P2","16","Standard","False","English","India Time (Asia/Kolkata)","Tableau Desktop","Install and upgrade","Tableau Crash","Screen-Magic Mobile Media Pvt. Ltd","https://tableau.my.salesforce.com/5006Q00001hs1oaQAA"
,,"07490028","False","VIP","P3","227","Standard","False","English","India Time (Asia/Kolkata)","Tableau Desktop","Visualizations","Need to place 2filter action from the single sheeted dashboard-1 to 2different dashboard-2 and dashboard-3 in the same workbook.","Tata Motors Ltd.","https://tableau.my.salesforce.com/5006Q00001hrOjAQAU"
,,"07498970","False","VIP","P3","131","Standard","False","English (UK)","India Time (Asia/Kolkata)","Tableau Server","Visualizations","Different calendar weeks","Sartorius AG","https://tableau.my.salesforce.com/5006Q00001hrdNDQAY"
,,"07504565","False","VIP","P3","82","Standard","False","English","China Time (Asia/Shanghai)","Tableau Server","Stability","tableau server degraded","International Business Machines Corporation","https://tableau.my.salesforce.com/5006Q00001hrlQMQAY"
,,"07506979","False","VIP","P3","66","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Connect and work with data","[SQLSTATE:58P01]  - Unable to Read .tde file after migration from Tableau 2018.1 to 2021.2","Amazon.com Inc. (MAIN)","https://tableau.my.salesforce.com/5006Q00001hrpxUQAQ"
,,"07507493","False","VIP","P3","63","Standard","False","English","Philippines Time (Asia/Manila)","Tableau Server","Connect and work with data","Correct dimension to use for #user request and span of their visits","Genentech, Inc.","https://tableau.my.salesforce.com/5006Q00001hrqgQQAQ"
,,"07507852","False","VIP","P3","60","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Visualizations","URL actions error: potentially unsafe url blocked","ZS Associates, Inc.","https://tableau.my.salesforce.com/5006Q00001hrr1KQAQ"
,,"07509973","False","VIP","P3","49","Standard","False","English","Australian Central Time ((South Australia) Australia/Adelaide)","Tableau Server","Performance","tableau online performance","Atlassian Pty Ltd","https://tableau.my.salesforce.com/5006Q00001hrunBQAQ"
,,"07510062","False","VIP","P3","48","Standard","False","English (UK)","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Server","Stability","Tableau Cluster became unresponsive","PROPERTY EXCHANGE AUSTRALIA LIMITED","https://tableau.my.salesforce.com/5006Q00001hrux6QAA"
,,"07510318","False","VIP","P3","44","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Visualizations","faded issue","Pharmacyclics, LLC","https://tableau.my.salesforce.com/5006Q00001hrvHuQAI"
,,"07510417","False","VIP","P3","43","Standard","False","English","Singapore Time (Asia/Singapore)","Tableau Server","Connect and work with data","Extract connection issue with Cloudera  at scheduling","NTUC Income Insurance Co-Operative Ltd","https://tableau.my.salesforce.com/5006Q00001hrvPZQAY"
,,"07513425","False","VIP","P3","25","Standard","False","English",,"Tableau Desktop","Connect and work with data","Tableau Web data connectors/Proxy configuration","Aqr Capital Management LLC","https://tableau.my.salesforce.com/5006Q00001hs0R6QAI"
,,"07513607","False","VIP","P3","23","Standard","False","English","Malaysia Time (Asia/Kuala_Lumpur)","Tableau Desktop","Performance","Tableau Desktop and Prep Lagging issue","CIMB Bank Berhad","https://tableau.my.salesforce.com/5006Q00001hs0jeQAA"
,,"07513716","False","VIP","P3","21","Standard","False","English","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Server","Performance","On Prem Server CPU reaching usage 99% even when the Tableau service is down","Transport for NSW","https://tableau.my.salesforce.com/5006Q00001hs0svQAA"
,,"07477779","False",,"P3","379","Standard","True","English (UK)","New Zealand Time (Pacific/Auckland)","Tableau Desktop","Licensing","OEM Schema/Table Check for SparkSQL","ORION HEALTH LIMITED","https://tableau.my.salesforce.com/5006Q00001hqxGNQAY"
,,"07488578","False",,"P3","240","Standard","False","Chinese Traditional","Hong Kong Time (Asia/Hong_Kong)","Tableau Server","Visualizations","Error popped up when a filter included","eCloudvalley Technology (HK) Limited","https://tableau.my.salesforce.com/5006Q00001hrG0gQAE"
,,"07492598","False",,"P3","210","Standard","False","Korean","Korea Time (Asia/Seoul)","Tableau Prep Builder","Connect and work with data","aqlprocessor evaluation failed : 작업이 취소되었습니다. DataService Failure","Milvus","https://tableau.my.salesforce.com/5006Q00001hrSqRQAU"
,,"07494285","False",,"P3","200","Standard","False","Mandarin","Japan Time (Asia/Tokyo)","Tableau Desktop","Calculations and analytics","how to ""combine"" two columns within one data source and then create new calculate field","Saint Bitts LLC","https://tableau.my.salesforce.com/5006Q00001hrVJFQA2"
,,"07499202","False",,"P3","119","Standard","False","English","India Time (Asia/Kolkata)","Extract API","Developer support","Tableau Query Metadata API","Ally - Bellevue","https://tableau.my.salesforce.com/5006Q00001hrdipQAA"
,,"07499298","False",,"P3","118","Standard","True","Korean","Korea Time (Asia/Seoul)","Tableau Desktop","Connect and work with data","[Tableau Desktop] Impala 데이터 연동하기","Milvus","https://tableau.my.salesforce.com/5006Q00001hrdqFQAQ"
,,"07499690","False",,"P3","114","Standard","False","English","Malaysia Time (Asia/Kuala_Lumpur)","Tableau Server","Publish","Tableau Desktop Unable to upload to Tableau Server","Matrix Connection Sdn","https://tableau.my.salesforce.com/5006Q00001hreJWQAY"
,,"07499814","False",,"P3","113","Standard","False","English",,"Tableau Bridge","Configuration","Re: Technical Assistance in Tableau Implementation || WareiQ Logistics Pvt Ltd","Corporate Renaissance Group Inc","https://tableau.my.salesforce.com/5006Q00001hreMvQAI"
,,"07502895","False",,"P3","95","Standard","False","English (UK)","Australian Western Time (Australia/Perth)","Tableau Server","Stability","Tableau tabs not working in iframe","Gridcognition","https://tableau.my.salesforce.com/5006Q00001hrj2NQAQ"
,,"07503131","False",,"P3","92","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Visualizations","The tableau filter DOMXPath is frequently getting changed","CitiusTech Healthcare Technology Private Limited","https://tableau.my.salesforce.com/5006Q00001hrjKqQAI"
,,"07503090","False",,"P3","92","Standard","False","English","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Server","User management","Tableau server Logs","Water Services Association of Australia Limited","https://tableau.my.salesforce.com/5006Q00001hrjHcQAI"
,,"07503689","False",,"P3","88","Standard","False","English","India Time (Asia/Kolkata)","Tableau Prep Builder","Publish","Tableau Prep: Flow is taking hours to run flow and not getting published on tableau server","The Indian Express","https://tableau.my.salesforce.com/5006Q00001hrkBVQAY"
,,"07503607","False",,"P3","88","Standard","False","Chinese Traditional","China Time (Asia/Taipei)","Tableau Desktop","Connect and work with data","更換table名稱後持續出現1E953F46錯誤","BOOKS.COM CO., LTD.","https://tableau.my.salesforce.com/5006Q00001hrk5IQAQ"
,,"07506063","False",,"P3","75","Standard","False","English","Australian Eastern Time (Queensland) (Australia/Brisbane)","Tableau Desktop","Connect and work with data","Data Source Formatting Loss","Baiada Poultry Pty Limited","https://tableau.my.salesforce.com/5006Q00001hrnvHQAQ"
,,"07506329","False",,"P3","73","Standard","False","English","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Online","Authentication","Fwd: Tableau Online site - hopefully easy question","George Weston Foods Limited","https://tableau.my.salesforce.com/5006Q00001hroP2QAI"
,,"07506372","False",,"P3","72","Standard","False","English (UK)","India Time (Asia/Kolkata)","Tableau Server","Print and export","Tableau Dashboards with data tables loaded from Azure SQL Server,cannot be fully deployed from Tableau Desktop (version: 2021.3.0 or older) to the server. When the Dashboard is published to the server it gives the authentication error (custom OAuth is not","Pricewaterhouse Coopers Private Limited","https://tableau.my.salesforce.com/5006Q00001hroUMQAY"
,,"07506433","False",,"P3","71","Standard","False","Chinese Simplified","China Time (Asia/Taipei)","Tableau Server","Connect and work with data","增量擷取模式","SYSTEX Corporation","https://tableau.my.salesforce.com/5006Q00001hroaUQAQ"
,,"07506498","False",,"P3","71","Standard","False","English","Malaysia Time (Asia/Kuala_Lumpur)","Tableau Server","Connect and work with data","Error while executing the query","Tune Talk Sdn Bhd","https://tableau.my.salesforce.com/5006Q00001hrofjQAA"
,,"07506454","False",,"P3","71","Standard","False","English","Singapore Time (Asia/Singapore)","Tableau Desktop","Clean and Shape Data","An error occurred while communicating with data source 'ptengine_sessions'  Error Code: 19841555 Unknown function REGEXP_MATCH called.","Juwai Limited","https://tableau.my.salesforce.com/5006Q00001hrobwQAA"
,,"07506649","False",,"P3","69","Standard","False","English","Singapore Time (Asia/Singapore)","Tableau Desktop","Connect and work with data","Tableau cound not read my data from SQL after extraction of the data","ERNST & YOUNG - Kuala Lumpur","https://tableau.my.salesforce.com/5006Q00001hrpVaQAI"
,,"07507080","False",,"P3","65","Standard","False","English","Malaysia Time (Asia/Kuala_Lumpur)","Tableau Server","Install and upgrade","error on server status page","Tune Talk Sdn Bhd","https://tableau.my.salesforce.com/5006Q00001hrqDNQAY"
,,"07507160","False",,"P3","65","Standard","False","Korean","Korea Time (Asia/Seoul)","Tableau Server","Visualizations","tableau server 게시 이후 align 오류","Dfocus Co., Ltd","https://tableau.my.salesforce.com/5006Q00001hrqIYQAY"
,,"07507050","False",,"P3","65","Standard","False","Mandarin","China Time (Asia/Shanghai)","Tableau Server","Connect and work with data","Custom SQL ERROR","Northern Point Technology Private Limited","https://tableau.my.salesforce.com/5006Q00001hrqBWQAY"
,,"07507230","False",,"P3","64","Standard","False","Chinese Simplified","China Time (Asia/Shanghai)","Tableau Desktop","Performance","我的同事有一份报表加载速度特别缓慢，我导出了性能报告，能帮我看看如何优化么？","Shanghai Advanced Analytic Service Co., Ltd.","https://tableau.my.salesforce.com/5006Q00001hrqNsQAI"
,,"07509729","False",,"P3","52","Standard","False","English",,"Tableau Server","Performance","Slow loading","Curtin University","https://tableau.my.salesforce.com/5006Q00001hruMPQAY"
,,"07510061","False",,"P3","48","Standard","False","English","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Desktop","Licensing","Installed Server - how to license desktop in citrix","Wannon Region Water Corporation","https://tableau.my.salesforce.com/5006Q00001hrux1QAA"
,,"07510156","False",,"P3","46","Standard","False","English",,"Tableau Desktop","Stability","Unable to open workbook from different device","J.T. Pack of Foods Co.,Ltd.","https://tableau.my.salesforce.com/5006Q00001hrv4vQAA"
,,"07510596","False",,"P3","42","Standard","False","Korean","Korea Time (Asia/Seoul)","Tableau Desktop","Connect and work with data","[Tableau Desktop] 데이터 원본 내 데이터가 보이지 않음","Milvus","https://tableau.my.salesforce.com/5006Q00001hrvm4QAA"
,,"07510469","False",,"P3","42","Standard","False","English","China Time (Asia/Taipei)","Tableau Server","Publish","Did`t Publish Data Source Tableau Prep Flow on Web Authoring Browser","United Alliance","https://tableau.my.salesforce.com/5006Q00001hrvTRQAY"
,,"07510621","False",,"P3","41","Standard","False","Chinese Traditional","Hong Kong Time (Asia/Hong_Kong)","Tableau Server","System management","Fail to Initiate User With TSM Command","Orient Overseas Container Line Limited","https://tableau.my.salesforce.com/5006Q00001hrvrTQAQ"
,,"07510640","False",,"P3","41","Standard","False","Chinese Traditional","China Time (Asia/Taipei)","Tableau Server","Install and upgrade","Upgrade to 2021.3 start all jobs failed","Everlight Electronics Co Ltd","https://tableau.my.salesforce.com/5006Q00001hrvslQAA"
,,"07510812","False",,"P3","40","Standard","False","Chinese Simplified","China Time (Asia/Shanghai)","Tableau Server","Install and upgrade","用来生成脱机激活文件的许可证和最后被激活的许可证不一致","Philips (China) Investment Co., Ltd.","https://tableau.my.salesforce.com/5006Q00001hrw5GQAQ"
,,"07510810","False",,"P3","40","Standard","False","Chinese Simplified","China Time (Asia/Shanghai)","Tableau Server","Install and upgrade","用来生成脱机激活文件的许可证和最后被激活的许可证不一致","Philips (China) Investment Co., Ltd.","https://tableau.my.salesforce.com/5006Q00001hrw56QAA"
,,"07510920","False",,"P3","39","Standard","False","English (UK)","India Time (Asia/Kolkata)","Tableau Online","APIs","multiple tabs / dashboard in a single tableau report - how we can access the data with REST API.","NagraVision India Private Limited","https://tableau.my.salesforce.com/5006Q00001hrwBnQAI"
,,"07511322","False",,"P3","36","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Performance","Getting Data source error while accessing complex calculation through webedit","Material Bank 01","https://tableau.my.salesforce.com/5006Q00001hrwjBQAQ"
,,"07511850","False",,"P3","34","Standard","False","English (UK)","Singapore Time (Asia/Singapore)","Tableau Server","System management","Tableau SMTP using AWS SES","COMFORT TRANSPORTATION PTE LTD","https://tableau.my.salesforce.com/5006Q00001hrxbNQAQ"
,,"07513398","False",,"P3","25","Standard","False","Chinese Simplified","China Time (Asia/Taipei)","Tableau Server","Connect and work with data","用相同的方式發布擷取資料源，有些成功有些失敗","SYSTEX Corporation","https://tableau.my.salesforce.com/5006Q00001hs0OgQAI"
,,"07513518","False",,"P3","24","Standard","False","English","Philippines Time (Asia/Manila)","Tableau Online","Content Management","Users with Creator role unable to create new project","Global B2B Consultancy Inc.","https://tableau.my.salesforce.com/5006Q00001hs0b6QAA"
,,"07513563","False",,"P3","23","Standard","False","English",,"Tableau Server","System management","Intermittent Report failure on ""Space used on this server report""","Roundtable of Sustainable Palm Oil","https://tableau.my.salesforce.com/5006Q00001hs0fcQAA"
,,"07513580","False",,"P3","23","Standard","False","English (UK)",,"Tableau Prep","Exporting Flow Output","Tableau Flow Error","Bridgestone Australia Ltd","https://tableau.my.salesforce.com/5006Q00001hs0hdQAA"
,,"07513581","False",,"P3","23","Standard","False","Mandarin","Hong Kong Time (Asia/Hong_Kong)","Tableau Server","System management","How to customize tableau server","Kerry Properties Limited - Corporate HQ","https://tableau.my.salesforce.com/5006Q00001hs0hiQAA"
,,"07513656","False",,"P3","22","Standard","False","English","Hong Kong Time (Asia/Hong_Kong)","Tableau Server","System management","tsm maintenance cleanup -t cannot cleanup temp files","Kepro Solutions Limited","https://tableau.my.salesforce.com/5006Q00001hs0ngQAA"
,,"07513663","False",,"P3","22","Standard","False","English","Philippines Time (Asia/Manila)","Tableau Server","Visualizations","Color changes for other users","Webb Fontaine","https://tableau.my.salesforce.com/5006Q00001hs0oFQAQ"
,,"07513871","False",,"P3","19","Standard","False","English","Philippines Time (Asia/Manila)","Tableau Server","Licensing","Tableau Offline Deactivation Error","Sun Life Financial Asia Services Limited - Taguig City","https://tableau.my.salesforce.com/5006Q00001hs15BQAQ"
,,"07513859","False",,"P3","19","Standard","False","Chinese Simplified","China Time (Asia/Shanghai)","Tableau Server","System management","tableau server web界面打不开","Qingdao Conson Urban Information Technology Co., Ltd.","https://tableau.my.salesforce.com/5006Q00001hs14IQAQ"
,,"07514332","False",,"P3","16","Standard","False","English (UK)","India Time (Asia/Kolkata)","Tableau Online","Site migration","Rrename site","FIPOLA RETIAL INDIA PRIVATE LIMITED","https://tableau.my.salesforce.com/5006Q00001hs1pJQAQ"
,,"07514377","False",,"P3","16","Standard","False","English","Indochina Time (Asia/Bangkok)","Tableau Server","Connect and work with data","Can't extract refresh data WDC dataddo on Tableau Server","G-Able Company Limited","https://tableau.my.salesforce.com/5006Q00001hs1sIQAQ"
,,"07514493","False",,"P3","14","Standard","False","English","India Time (Asia/Kolkata)","Tableau Online","Security","Changing data center","Datamatics Global Services Limited","https://tableau.my.salesforce.com/5006Q00001hs20MQAQ"
,,"07495996","False","VIP","P4","185","Standard","False","English","Singapore Time (Asia/Singapore)","Tableau Server","Publish","Issue publishing embedded workbook with custom geocoding file from network drive","Monetary Authority of Singapore","https://tableau.my.salesforce.com/5006Q00001hrYFuQAM"
,,"07510351","False","VIP","P4","43","Standard","False","English","Singapore Time (Asia/Singapore)","Tableau Server","Security","enable tls for smtp configuration","NCS Pte Ltd","https://tableau.my.salesforce.com/5006Q00001hrvKeQAI"
,,"07513685","False","VIP","P4","22","Standard","False","English","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Desktop","Calculations and analytics","RServe - An error occurred while communicating with data source 'Analytics Extension'","Datacom Connect Pty Ltd","https://tableau.my.salesforce.com/5006Q00001hs0qLQAQ"
,,"07514982","False","VIP","P4","11","Standard","False","English","India Time (Asia/Kolkata)","Tableau Server","Performance","Dashboard Performance is very low when connected to Live connection","Honeywell International Inc. - Morris Plains","https://tableau.my.salesforce.com/5006Q00001hs2iTQAQ"
,,"07488981","False",,"P4","234","Standard","False","Chinese Simplified","China Time (Asia/Shanghai)","Tableau Server","Visualizations","现在有一个发布到tableau server的工作簿，里面有三个仪表盘。在server上打开工作簿，从第一个仪表盘能成功跳到第二个仪表盘，可是这时第二个仪表盘的导航按钮灰掉了，继续点击导航按钮会报错（如果打开工作簿的时候先打开第二个仪表盘，导航按钮可以使用）","Shanghai Advanced Analytic Service Co., Ltd.","https://tableau.my.salesforce.com/5006Q00001hrImrQAE"
,,"07495635","False",,"P4","190","Standard","False","English",,"Tableau Online","Performance","TRY_CONVERT error/ data refresh not working","New Creation Church","https://tableau.my.salesforce.com/5006Q00001hrXarQAE"
,,"07495905","False",,"P4","186","Standard","False","English","Malaysia Time (Asia/Kuala_Lumpur)","Tableau Online","Connect and work with data","flows error online but ok on Prep Desktop","USG BORAL BUILDING PRODUCTS SDN. BHD.","https://tableau.my.salesforce.com/5006Q00001hrXw9QAE"
,,"07499104","False",,"P4","121","Standard","False","English (UK)",,"Tableau Online","Publishing","Punlishing workbook to TOL","DISCOVERY HOLIDAY PARKS PTY LIMITED","https://tableau.my.salesforce.com/5006Q00001hrdXiQAI"
,,"07499617","False",,"P4","114","Standard","False","Korean","Korea Time (Asia/Seoul)","Tableau Desktop","Publish","대시보드 게시하면 이미지 사이즈가 바뀜","ECHO Marketing Inc.","https://tableau.my.salesforce.com/5006Q00001hreDnQAI"
,,"07499813","False",,"P4","113","Standard","False","English","Singapore Time (Asia/Singapore)","Tableau Server","System management","How to customise the Tableau dashboard with the current date in a date filter when sending out reports daily via mail","4PLUS Consulting Limited","https://tableau.my.salesforce.com/5006Q00001hreQUQAY"
,,"07503547","False",,"P4","88","Standard","False","English","Hong Kong Time (Asia/Hong_Kong)","Tableau Server","Licensing","Setup new tableau server in Azure Cloud","Hongkong Land Company, Limited, The","https://tableau.my.salesforce.com/5006Q00001hrk1GQAQ"
