"Engineer","Protip","CaseNumber","Escl","CSM","P","Age","Entitlement","F/R","Language","Timezone","Product","Category","Subject","Account","link"
,,"07506891","False","VIP","P4","66","Elite","True","English","India Time (Asia/Kolkata)","Tableau Server","Stability","All services in Node 2 of our Tableau PROD environment were down","Woolworths Group Limited","https://tableau.my.salesforce.com/5006Q00001hrpmbQAA"
,,"07510248","False",,"P3","45","Extended","True","English","Australian EasternTime (New South Wales) (Australia/Sydney)","Tableau Server","Connect and work with data","Extract fails on server , however can be completed on Tableau desktop","Tabcorp Holdings Limited","https://tableau.my.salesforce.com/5006Q00001hrvCLQAY"
,,"07510336","False","VIP","P4","44","Extended","True","English","Singapore Time (Asia/Singapore)","Tableau Server","Visualizations","tags of html file are displayed instead of rendering to formatted text after publishing to Tableau server","Singapore Exchange Limited","https://tableau.my.salesforce.com/5006Q00001hrvJbQAI"
,,"07511035","False",,"P1","38","Premium","True","English (UK)","Arabia Time (Asia/Riyadh)","Tableau Server","Install and upgrade","Production Tableau Server Upgrade Failed and environment is down.","SAUDI BASIC INDUSTRIES CORPORATION (SABIC)","https://tableau.my.salesforce.com/5006Q00001hrwKkQAI"
,,"07510700","False","VIP","P2","41","Premium","True","English","India Time (Asia/Kolkata)","Tableau Server","Licensing","Azure AD user id movement from Millercoors.com to Molsoncoors.com","Millercoors LLC","https://tableau.my.salesforce.com/5006Q00001hrvwTQAQ"
,,"07513784","False","VIP","P2","20","Premium","True","English","India Time (Asia/Kolkata)","Tableau Server","Stability","Unexpected Error","American Express Company","https://tableau.my.salesforce.com/5006Q00001hs0yZQAQ"
,,"07513872","False","VIP","P2","19","Premium","True","English","India Time (Asia/Kolkata)","Tableau Server","Authentication","Backgrounder services unable to run after tableau server upgradation to 2021.2","The Great-West Life & Annuity Insurance Company","https://tableau.my.salesforce.com/5006Q00001hs15GQAQ"
,,"07513962","False","VIP","P2","18","Premium","True","English","India Time (Asia/Kolkata)","Tableau Server","User management","Scheduled synchronisation of AD group failing intermittently and users getting removed from AD group","Amgen Inc.","https://tableau.my.salesforce.com/5006Q00001hs1BiQAI"
,,"07514437","False","VIP","P2","15","Premium","True","English (UK)","Singapore Time (Asia/Singapore)","Tableau Server","Visualizations","Hyperlinks not working","DBS Group Holdings Ltd","https://tableau.my.salesforce.com/5006Q00001hs1wFQAQ"
,,"07514618","False",,"P2","13","Premium","True","English","India Time (Asia/Kolkata)","Tableau Server","Stability","Tableau Prep flow intermittently fails  with invalid ""Failed to connect to the remote database server in connection"" [as connection is in fact valid and working when either re-run or manually tested]","Apple Computer 01","https://tableau.my.salesforce.com/5006Q00001hs29sQAA"
,,"07510923","False","VIP","P3","39","Premium","True","Chinese Traditional","Hong Kong Time (Asia/Hong_Kong)","Tableau Server","Connect and work with data","Problem in upload dashboards and data file to On-premise tableau production server","Hang Seng Bank Limited","https://tableau.my.salesforce.com/5006Q00001hrwC7QAI"
,,"07511367","False","VIP","P3","36","Premium","True","English","India Time (Asia/Kolkata)","Tableau Server","Performance","Performance issue in loading dashboard","Pfizer Inc.","https://tableau.my.salesforce.com/5006Q00001hrwnhQAA"
,,"07513417","False","VIP","P3","25","Premium","True","English","Singapore Time (Asia/Singapore)","Tableau Server","Print and export","Font webdings not working in Tableau Server","CITIBANK","https://tableau.my.salesforce.com/5006Q00001hs0QIQAY"
,,"07513865","False","VIP","P3","19","Premium","True","English","India Time (Asia/Kolkata)","Tableau Server","Performance","Disk space went below critical level on Cluj Server (Clj)","Robert Bosch GmbH","https://tableau.my.salesforce.com/5006Q00001hs14mQAA"
